usdot_num,user_created,date_created,user_updated,date_updated,company_name,company_url,city,state,total_complaints_2021,total_complaints_2022,total_complaints_2023,location,company_type
1032910,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.980Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.255Z,FANTASTIC MOVES,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=31048350&id2=30448824&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",7
1151019,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.637Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.877Z,TOP 10 VAN LINES INC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30955968&id2=30330461&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,10,5,1,"MIAMI, FL",20
1170441,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.385Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.472Z,"GENESIS MOVING & STORAGE,INC.",https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30901230&id2=30311039&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",1
1174864,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.147Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.235Z,ALEXIM MOVING,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30933408&id2=30323494&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",1
1182931,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.307Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.397Z,E J R TRANSPORTATION INC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30893979&id2=30233253&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",1
12103,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:40:14.102Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:53:07.243Z,MITCHELL MOVING & STORAGE COMPANY,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=31280400&id2=31420721&f=search%3D5%26ads%3Da%26state%3DWA%26Submit%3DSearch,SEATTLE,WA,0,0,0,"SEATTLE, WA",12
1221918,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.134Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.223Z,"A.B.C. MOVING, INC.",https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30951762&id2=30276456&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",1
1293198,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.658Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.946Z,"VIDAL MOVING & STORAGE, INC.",https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30921455&id2=30205432&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",1
1305014,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.790Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.042Z,"ADVANCE FORWARD LOGISTICS, LLC",https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=31008393&id2=30193600&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
1319001,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.957Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.232Z,DT'S QUICK MOVE,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30971897&id2=30113327&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
1327398,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.937Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.211Z,DELICATE MOVING SYSTEMS,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=31043692&id2=30089040&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",2
1355837,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.259Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.571Z,ROLFE TRUCKING,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30978441&id2=30142027&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",2
1371525,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.103Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.375Z,KIMBER RELOCATION SERVICES,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30974355&id2=30127091&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",2
1374192,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.210Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.293Z,BJ&AS LOGISTICS LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30542926&id2=30124422&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",1
