usdot_num,fmsca_ai_profile,user_created,date_created,user_updated,date_updated,company_name,mc_num,registered_address,mailing_address,phone_number,fax_number,safety_review_date,num_of_trucks,num_of_tractors,num_of_trailers,hhg_authorization,total_complaints_2021,total_complaints_2022,total_complaints_2023
3975699,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=29886143&id2=31716453&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:26:30.062Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T19:05:56.185Z,GOING GOLDENN TRANSPORTATION LLC,1530057,"4420 MARK TRAIL WAY
DALLAS, TX 75232-1047",Same as above,(214)709-8984,,,1,0,0,false,0,0,0
4040772,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=29887168&id2=31651378&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:26:41.903Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T19:06:07.459Z,KINECT TRANSPORT LLC,1529014,"14155 DALLAS PKWY APT 1543
DALLAS, TX 75254","14155 DALLAS PKWY APT 1543
DALLAS, TX 75254-4463",(501)358-2015,,,0,0,0,false,0,0,0
4059470,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=29893096&id2=31633208&f=search%3D5%26ads%3Da%26state%3DWA%26Submit%3DSearch,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:26:31.889Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T19:05:57.695Z,GULED JAMA,1539998,"7509 24TH AVE SW APT 3
SEATTLE, WA 98106","7509 24TH AVE SW APT 3
SEATTLE, WA 98106-3401",(206)335-8042,(206) 335-8042,,1,1,0,false,0,0,0
4054636,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=29895389&id2=31621146&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:26:21.752Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T19:05:47.659Z,E&M EXPRESS LOGISTICS LLC,1537195,"750 N SAINT PAUL ST STE 250
DALLAS, TX 75201","750 N SAINT PAUL ST STE 250
DALLAS, TX 75201-3206",(469)396-1815,,,1,0,0,false,0,0,0
4054993,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=29895424&id2=31621543&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:27:06.870Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T19:06:33.016Z,RELIASAFE DELIVERIES,1537398,"9511 SW 81ST ST
MIAMI, FL 33173","9511 SW 81ST ST
MIAMI, FL 33173-5467",(305)582-6901,,,1,0,0,false,0,0,0
4050494,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=29898107&id2=31625288&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:26:35.366Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T19:06:00.942Z,HUTTOE GLOBAL ENTERPRISE LLC,1534733,"860 NW 213TH TER APT 105
MIAMI, FL 33169","860 NW 213TH TER APT 105
MIAMI, FL 33169-2077",(754)303-5779,,,1,0,0,false,0,0,0
4001611,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=29902419&id2=31609149&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:26:04.518Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T19:05:31.124Z,B-INDEPENDENT CONSULTING LLC,1513509,"13205 BALTUSRAL CT
DALLAS, TX 75253","3330 N GALLOWAY AVE #304-39
MESQUITE, TX 75750",(972)863-8285,(469) 372-0265,,0,0,0,false,0,0,0
4015413,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=29903078&id2=31595331&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:27:23.907Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T19:06:49.451Z,ULS SERVICES LLC,1513104,"825 BRICKELL BAY DR APT 548
MIAMI, FL 33131",Same as above,(585)612-1234,,,1,0,0,false,0,0,0
4011500,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=29905650&id2=31615898&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:26:47.394Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T19:06:12.749Z,MACHADO DELIVERY LLC,1510532,"7721 NW 7TH ST APT 501
MIAMI, FL 33126","7721 NW 7TH ST APT 501
MIAMI, FL 33126-6118",(786)759-7107,,,3,0,0,false,0,0,0
4011991,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=29905843&id2=31615393&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:26:33.023Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T19:05:58.964Z,HAUSSS HAULING LLC,1510853,"2701 BISCAYNE BLVD APT 5111
MIAMI, FL 33137","2701 BISCAYNE BLVD APT 5111
MIAMI, FL 33137-5293",(407)848-4360,,,0,1,1,false,0,0,0
