usdot_num,id,user_created,date_created,user_updated,date_updated,complaint_category,complaint_year,complaint_count
3500694,003e5853-e612-4661-b889-1113a62212ba,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:52.992Z,,,Consumer Complaint(Deceptive Business Practices),2021,1
3179208,0164fac5-9ed5-49e2-a60b-874a3a4e5760,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:52.929Z,,,Estimates/Final Charges,2021,1
2543958,018d14dc-a7d3-438d-8162-0acdfc926806,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.278Z,,,Consumer Complaint(Deceptive Business Practices),2022,7
2955542,01bf5740-de67-4a41-a971-9266923a11a1,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.099Z,,,Pickup and Delivery,2022,2
3307068,027b31c6-6493-47f2-82ca-92e223a7558b,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.690Z,,,Weighing,2022,2
3307068,027fec86-cece-4c3c-99b4-d46c941dd16a,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.684Z,,,Shipment Documents,2022,2
2372043,029822b2-9f8b-4e76-9338-a7c5ad5cbfb8,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.090Z,,,Operating Authority,2021,1
1664920,03425935-4588-4d81-a9a6-a96975d02b52,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.043Z,,,Loss and Damage,2023,1
2955542,039aaed0-ad10-4f83-ad07-065f4bc955ef,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.090Z,,,Estimates/Final Charges,2022,2
3165347,04c7f987-357d-48c5-a06d-f9879736be07,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.509Z,,,Consumer Complaint(Deceptive Business Practices),2023,1
3712697,056371a4-2931-41f5-ae6f-2d78fe6a9d0e,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:26.556Z,,,Weighing,2023,2
2030210,058e1cc8-bfd8-43b5-a1d2-ab5edc247644,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:26.752Z,,,Claim Settlement,2021,1
3006268,0685ae39-0a3a-45ac-bf72-800e34c946ae,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:13.925Z,,,Weighing,2022,1
3013492,068991a7-ccf7-4a8b-a432-8f5556531daa,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.403Z,,,Estimates/Final Charges,2022,2
2139244,06904b04-5a79-4f58-8ef5-24e40e9fbf3b,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.132Z,,,Shipment Documents,2021,2
1151019,069bbb31-fd56-4f03-b565-07f48a1ca18d,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.630Z,,,Pickup and Delivery,2022,3
2247863,069c1ef8-ea33-49e7-852c-edd2d16770a2,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.338Z,,,Claim Settlement,2023,2
2886867,07021631-d3e4-400b-a7a8-094606b59da3,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.384Z,,,Claim Settlement,2022,2
1151019,078311c9-4947-4bd8-8ba1-7347a14a5211,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.621Z,,,Shipment Documents,2022,2
3429180,07a61124-644a-4fa6-bbbb-226398339ecd,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.010Z,,,Estimates/Final Charges,2022,1
2955542,07bb301c-4d1f-491b-99cd-1ca0605d3cb4,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.071Z,,,Hostage,2021,2
3500694,07c601a9-ca41-46a7-8634-278e448b0181,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:52.979Z,,,Operating Authority,2021,1
