usdot_num,fmcsa_link,user_created,date_created,user_updated,date_updated,entity_type,operating_status,oos_date,legal_name,dba_name,physical_address,phone,mailing_address,state_carrier_id_number,mc_num,duns_number,power_units,drivers,mcs_150_form_date,operation_classification,carrier_type,cargo_types,us_vehicle_inspections,us_driver_inspections,us_hazmat_inspections,us_iep_inspections,us_vehicle_out_of_service,us_driver_out_of_service,us_hazmat_out_of_service,us_iep_out_of_service,us_vehicle_out_of_service_pct,us_driver_out_of_service_pct,us_hazmat_out_of_service_pct,us_iep_out_of_service_pct,us_vehicle_natl_avg_oos_pct,us_driver_natl_avg_oos_pct,us_hazmat_natl_avg_oos_pct,us_iep_natl_avg_oos_pct,us_crashes_fatal,us_crashes_injury,us_crashes_tow,us_crashes_total,canadian_vehicle_inspections,canadian_driver_inspections,canadian_vehicle_out_of_service,canadian_driver_out_of_service,canadian_vehicle_out_of_service_pct,canadian_driver_out_of_service_pct,carrier_safety_rating_rating_date,carrier_safety_rating_review_date,carrier_safety_rating_rating,carrier_safety_rating_type,mileage,mileage_year
1032910,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1032910,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:56.995Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:51.082Z,CARRIER,AUTHORIZED FOR HHG,,LONE STAR LOADERS INC,FANTASTIC MOVES,"10610 METRIC #175
            DALLAS, TX   75243",(214) 349-6683,"10610 METRIC #175
          DALLAS, TX   75243",,MC-433384,--,7,7,2021-10-13,Auth. For Hire,Interstate,"['General Freight', 'Household Goods']",1,9,0,0,0,2,0,0,0.0,0.22,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,2009-06-12,None,Non-Ratable,130000,2020
1151019,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1151019,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:53.490Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:48.225Z,CARRIER,AUTHORIZED FOR HHG,,TOP 10 VAN LINES INC,,"600 NE 185 ST
            MIAMI, FL   33179",(954) 668-3947,"600 NE 185 ST
          MIAMI, FL   33179",,MC-460726,--,20,14,2023-05-01,Auth. For Hire,Interstate,['Household Goods'],23,35,0,0,7,6,0,0,0.3,0.17,,0.0,0.22,0.07,0.04,,1,0,0,1,0,0,0,0,0.0,0.0,,2017-04-06,None,Non-Ratable,700000,2022
1170441,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1170441,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:01.174Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:55.184Z,CARRIER,AUTHORIZED FOR HHG,,GENESIS MOVING & STORAGE INC,,"1688 NE 205TH TERRACE
            MIAMI, FL   33179",(305) 652-3200,"1688 NE 205TH TERRACE
          MIAMI, FL   33179",,MC-581016,--,1,1,2022-01-25,Auth. For Hire,Interstate,['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,75000,2021
1174864,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1174864,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:29.607Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:20.441Z,CARRIER,NOT AUTHORIZED,,ATC CARGO INC,,"8586 NW 72ND STREET
            MIAMI, FL   33166",(305) 397-0754,"8586 NW 72ND STREET
          MIAMI, FL   33166",,MC-483286,81-576-360,1,2,2016-01-20,Auth. For Hire,Intrastate Only (Non-HM),"['General Freight', 'Household Goods']",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None_1,10000,2015
1182931,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1182931,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:53.270Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:47.296Z,CARRIER,NOT AUTHORIZED,,E J R TRANSPORTATION INC,,"6750 NW 79 AVE
            MIAMI, FL   33166",(305) 594-2529,"6750 NW 79 AVE
          MIAMI, FL   33166",,MC-539117,--,1,1,2003-10-08,Auth. For Hire,Intrastate Only (Non-HM),"['General Freight', 'Household Goods']",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,5000,2002
12103,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=12103,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:23.969Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:18.466Z,CARRIER,AUTHORIZED,,ALASKA SEAVAN INC,MITCHELL MOVING & STORAGE,"18800 SOUTH CENTER PARKWAY
            SEATTLE, WA   98188",(206) 575-6800,"P O BOX 88728
          SEATTLE, WA   98138",,FF-4212,44-595-189,12,18,2022-12-06,Auth. For Hire,Interstate,['Household Goods'],5,9,0,0,1,0,0,0,0.2,0.0,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,1989-05-12,1989-04-03,Satisfactory,Safety Review,125102,2020
1221918,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1221918,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:26.202Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:16.911Z,CARRIER,NOT AUTHORIZED,,A B C MOVING INC,,"18239 NE 4 CT
            MIAMI, FL   33162",(305) 249-2209,"18239 NE 4 CT
          MIAMI, FL   33162",,MC-464676,--,1,1,2005-08-10,Auth. For Hire,Intrastate Only (Non-HM),"['General Freight', 'Household Goods']",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,99000,2003
1293198,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1293198,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:59.449Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:54.579Z,CARRIER,"AUTHORIZED FOR Property, HHG",,VIDAL MOVING & STORAGE INC,,"270 NE 70 ST
            MIAMI, FL   33138",(305) 992-5106,"270 NE 70 ST
          MIAMI, FL   33138",,MC-560281,--,1,1,2023-07-19,Auth. For Hire,Interstate,"['General Freight', 'Household Goods']",1,2,0,0,0,0,0,0,0.0,0.0,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,2010-09-30,2010-09-30,Satisfactory,Compliance Review,14189,2022
1305014,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1305014,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:28.159Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:18.889Z,CARRIER,Inactive USDOT Number per 49 CFR 390.19(b)(4); Biennial update of MCS-150 data not completed,,ADVANCE FORWARD LOGISTICS LLC,,"2606 SOUTHLAND ST
            DALLAS, TX   75215",(972) 854-2761,"2606 SOUTHLAND ST
          DALLAS, TX   75215",,MC-424191,--,1,1,2021-01-15,Auth. For Hire,Interstate,"['General Freight', 'Building Materials', 'Commodities Dry Bulk', 'Paper Products']",1,1,0,0,0,0,0,0,0.0,0.0,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,140000,2020
1319001,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1319001,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:52.809Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:46.818Z,CARRIER,NOT AUTHORIZED,,DERRICK TAYLOR,DT'S QUICK MOVE,"7304 S LANCASTETR RD
            DALLAS, TX   75241",(214) 232-3219,"7304 S LANCASTETR RD
          DALLAS, TX   75241",,MC-510351,--,1,2,2021-05-21,Auth. For Hire,Interstate,"['General Freight', 'Motor Vehicles', 'Drive/Tow away']",2,2,0,0,2,2,0,0,1.0,1.0,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,2011-06-04,2011-03-24,Conditional,Compliance Review,5000,2020
